source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source	confidence
icd11	icd11:1858816640	Gammaherpesvirinae	skos:exactMatch	ncbitaxon	ncbitaxon:10374	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.88
ncbitaxon	ncbitaxon:37162	NO_NAME_FOUND	skos:exactMatch	ncit	ncit:C36197	Mycobacterium Avium Infection	semapv:SemanticSimilarityThresholdMatching	logmap	0.83
ncbitaxon	ncbitaxon:10293	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1719011513	Alphaherpesvirinae	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
icd11	icd11:823942568	Milk or dairy	skos:exactMatch	foodon	foodon:03411201	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.34
mondo	mondo:0016841	20p12.3 microdeletion syndrome	skos:exactMatch	chr	chr:9606-chr20p12.3	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.53
orphanet.ordo	orphanet.ordo:251924	Neuronal tumor	skos:exactMatch	cl	cl:0000095	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.35
ncbitaxon	ncbitaxon:5754	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:14173159	Acanthamoeba	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
ncbitaxon	ncbitaxon:6211	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1123667327	Echinococcus multilocularis	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
ncbitaxon	ncbitaxon:6318	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1980528633	Trichostrongylus	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
ncit	ncit:C117245	Decreased Attention	skos:exactMatch	pato	pato:0002362	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.74
ncbitaxon	ncbitaxon:38946	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1675330399	Paracoccidioides	semapv:SemanticSimilarityThresholdMatching	logmap	0.96
icd11	icd11:2033913333	Talaromyces marneffei	skos:exactMatch	ncbitaxon	ncbitaxon:37727	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.98
icd11	icd11:275201521	Burkholderia pseudomallei	skos:exactMatch	ncbitaxon	ncbitaxon:28450	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
doid	doid:4	disease	skos:exactMatch	ogms	ogms:0000031	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
icd11	icd11:1754077231	Diphyllobothrium species	skos:exactMatch	ncbitaxon	ncbitaxon:28844	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
ncbitaxon	ncbitaxon:10257	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1624389950	Parapox virus	semapv:SemanticSimilarityThresholdMatching	logmap	0.78
omim.ps	omim.ps:219080	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:708993141	ACTH-independent macronodular adrenal hyperplasia	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
ncbitaxon	ncbitaxon:10379	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1442627494	Rhadinovirus	semapv:SemanticSimilarityThresholdMatching	logmap	0.64
ncbitaxon	ncbitaxon:11723	NO_NAME_FOUND	skos:exactMatch	efo	efo:0001675	simian immunodeficiency virus infection	semapv:SemanticSimilarityThresholdMatching	logmap	0.62
mondo	mondo:0013894	short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome	skos:exactMatch	pato	pato:0000387	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.54
icd11	icd11:83217129	Bacteria	skos:exactMatch	ncbitaxon	ncbitaxon:2	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
ncbitaxon	ncbitaxon:138	NO_NAME_FOUND	skos:exactMatch	ncit	ncit:C45161	Borrelia Burgdorferi Infection	semapv:SemanticSimilarityThresholdMatching	logmap	0.72
ncbitaxon	ncbitaxon:1817	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1495276771	Nocardia	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
ncbitaxon	ncbitaxon:29908	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:173800541	Sporothrix schenckii	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
ncbitaxon	ncbitaxon:694002	NO_NAME_FOUND	skos:exactMatch	mondo	mondo:0100096	COVID-19	semapv:SemanticSimilarityThresholdMatching	logmap	0.55
icd11	icd11:2013645177	Oesophagostomum	skos:exactMatch	ncbitaxon	ncbitaxon:52564	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
mondo	mondo:0018875	Li-Fraumeni syndrome	skos:exactMatch	omim.ps	omim.ps:151623	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
