source identifier	source name	target prefix	target identifier	target name	confidence
orphanet.ordo:280840	Congenital pulmonary airway malformation type 2	mondo	mondo:0017250	congenital pulmonary airway malformation type 2	0.83
ncit:C34445	Cannabis Dependence	mesh	mesh:D002189	Marijuana Abuse	0.73
orphanet.ordo:530838	KRT1-related diffuse nonepidermolytic keratoderma	mondo	mondo:0010962	diffuse nonepidermolytic palmoplantar keratoderma	0.71
mondo:0015993	cone-rod dystrophy	orphanet.ordo	orphanet.ordo:1872	Cone rod dystrophy	0.72
orphanet.ordo:254749	Tricarboxylic acid cycle disorder	mondo	mondo:0016790	tricarboxylic acid cycle disorder	0.95
mondo:0012621	deafness-infertility syndrome	orphanet.ordo	orphanet.ordo:94064	Deafness-infertility syndrome	0.85
orphanet.ordo:289596	Juvenile nasopharyngeal angiofibroma	mondo	mondo:0017340	juvenile nasopharyngeal angiofibroma	0.94
mondo:0010214	xeroderma pigmentosum variant type	orphanet.ordo	orphanet.ordo:90342	Xeroderma pigmentosum variant	0.55
orphanet.ordo:309816	Disorder of bilirubin metabolism and excretion	mondo	mondo:0017755	inborn disorder of bilirubin metabolism	0.87
mondo:0019307	generalized junctional epidermolysis bullosa non-Herlitz type	orphanet.ordo	orphanet.ordo:79402	Intermediate generalized junctional epidermolysis bullosa	0.85
mondo:0019767	hamel cerebro-palato-cardiac syndrome	orphanet.ordo	orphanet.ordo:93946	Hamel cerebro-palato-cardiac syndrome	0.72
orphanet.ordo:213625	Leiomyosarcoma of the corpus uteri	mondo	mondo:0016262	leiomyosarcoma of the corpus uteri	0.82
orphanet.ordo:648681	Immune-mediated scleritis	mondo	mondo:0958266	immune-mediated scleritis	0.76
ncit:C3538	Malignant Peritoneal Neoplasm	doid	doid:1725	peritoneum cancer	0.96
orphanet.ordo:268820	Cranial meningocele	ncit	ncit:C124517	Cranial Meningocele	0.73
orphanet.ordo:1264	Tricho-retino-dento-digital syndrome	mondo	mondo:0008622	tricho-retino-dento-digital syndrome	0.65
ncit:C60785	Anorectal Fistula	orphanet.ordo	orphanet.ordo:228113	Anal fistula	0.74
orphanet.ordo:93114	Autosomal dominant intermediate Charcot-Marie-Tooth disease type E	mondo	mondo:0013758	Charcot-Marie-Tooth disease dominant intermediate E	0.89
orphanet.ordo:456328	X-linked myotubular myopathy-abnormal genitalia syndrome	mondo	mondo:0010271	X-linked myotubular myopathy-abnormal genitalia syndrome	0.73
efo:0004126	Adie syndrome	orphanet.ordo	orphanet.ordo:454718	Holmes-Adie syndrome	0.75
orphanet.ordo:97253	Neuroendocrine tumor of pancreas	efo	efo:1000045	pancreatic neuroendocrine tumor	0.87
orphanet.ordo:290	Congenital rubella syndrome	mesh	mesh:D012410	Rubella Syndrome, Congenital	0.76
orphanet.ordo:363722	Alexander disease type II	mondo	mondo:0018210	Alexander disease type II	0.73
mondo:0009394	juvenile Paget disease	orphanet.ordo	orphanet.ordo:2801	Juvenile Paget disease	0.61
orphanet.ordo:1679	Diphtheria	mesh	mesh:D004165	Diphtheria	0.5
orphanet.ordo:284400	Small cell carcinoma of the bladder	mondo	mondo:0004114	urinary bladder small cell neuroendocrine carcinoma	0.83
mondo:0019485	idiopathic hemiconvulsion-hemiplegia syndrome	orphanet.ordo	orphanet.ordo:86908	Hemiconvulsion-hemiplegia-epilepsy syndrome	0.75
mondo:0015717	mild hemophilia B	orphanet.ordo	orphanet.ordo:169799	Mild hemophilia B	0.73
orphanet.ordo:68356	Leukodystrophy	doid	doid:10579	leukodystrophy	0.5
orphanet.ordo:220465	Laron syndrome with immunodeficiency	mondo	mondo:0100211	growth hormone insensitivity with immune dysregulation 1, autosomal recessive	0.64
mondo:0008051	tubular aggregate myopathy	orphanet.ordo	orphanet.ordo:2593	Tubular aggregate myopathy	0.63
orphanet.ordo:276238	Machado-Joseph disease type 1	mondo	mondo:0017174	Machado-Joseph disease type 1	0.71
mondo:0971094	cardiac anomalies-short stature-joint hypermobility-facial dysmorphism syndrome due to TAB2 mutation	orphanet.ordo	orphanet.ordo:664401	Cardiac anomalies-short stature-joint hypermobility-facial dysmorphism syndrome due to TAB2 mutation	0.72
mondo:0007982	metaphyseal chondrodysplasia, Jansen type	orphanet.ordo	orphanet.ordo:33067	Metaphyseal chondrodysplasia, Jansen type	0.91
mondo:0035651	choanal atresia-athelia-hypothyroidism-delayed puberty-short stature syndrome	orphanet.ordo	orphanet.ordo:589856	Choanal atresia-athelia-hypothyroidism-delayed puberty-short stature syndrome	0.88
orphanet.ordo:213772	Adenocarcinoma of the cervix uteri	ncit	ncit:C4029	Cervical Adenocarcinoma	0.83
orphanet.ordo:98275	Myelodysplastic/myeloproliferative disease	mondo	mondo:0020077	myelodysplastic/myeloproliferative disease	0.83
mondo:0018881	myelodysplastic syndrome	orphanet.ordo	orphanet.ordo:52688	Myelodysplastic syndrome	0.8
orphanet.ordo:2902	Idiopathic chronic eosinophilic pneumonia	mondo	mondo:0017363	idiopathic chronic eosinophilic pneumonia	0.84
orphanet.ordo:645325	Isolated filum lipoma	mondo	mondo:0958347	isolated filum lipoma	0.72
mondo:0017817	primary localized amyloidosis	orphanet.ordo	orphanet.ordo:314709	Primary localized amyloidosis	0.82
orphanet.ordo:93349	X-linked spondyloepimetaphyseal dysplasia	mondo	mondo:0010248	X-linked spondyloepimetaphyseal dysplasia	0.75
mondo:0014568	hereditary spastic paraplegia 73	orphanet.ordo	orphanet.ordo:444099	Autosomal dominant spastic paraplegia type 73	0.85
mondo:0020556	pleuropulmonary blastoma type 2	orphanet.ordo	orphanet.ordo:99934	Pleuropulmonary blastoma type 2	0.71
orphanet.ordo:309015	Familial lipoprotein lipase deficiency	mondo	mondo:0009387	familial lipoprotein lipase deficiency	0.82
mondo:0035027	microcephaly-facial dysmorphism-ocular anomalies-multiple congenital anomalies syndrome	orphanet.ordo	orphanet.ordo:521445	Microcephaly-facial dysmorphism-ocular anomalies-multiple congenital anomalies syndrome	0.81
mondo:0019121	pneumocystosis	orphanet.ordo	orphanet.ordo:723	Pneumocystosis	0.75
ncit:C4486	Blue Rubber Bleb Nevus	orphanet.ordo	orphanet.ordo:1059	Blue rubber bleb nevus	0.73
mondo:0005854	mixed connective tissue disease	orphanet.ordo	orphanet.ordo:809	Mixed connective tissue disease	0.86
doid:5225	von Economo's disease	orphanet.ordo	orphanet.ordo:83600	Encephalitis lethargica	0.57
mondo:0010224	corpus callosum agenesis-abnormal genitalia syndrome	orphanet.ordo	orphanet.ordo:2508	Corpus callosum agenesis-abnormal genitalia syndrome	0.91
orphanet.ordo:585	Multiple sulfatase deficiency	mondo	mondo:0010088	mucosulfatidosis	0.74
orphanet.ordo:262878	Partial duplication of the long arm of chromosome 6 syndrome	mondo	mondo:0016957	partial duplication of the long arm of chromosome 6	0.65
ncit:C3333	Pneumonia	mesh	mesh:D011014	Pneumonia	0.71
mondo:0008443	spastic paraplegia-precocious puberty syndrome	orphanet.ordo	orphanet.ordo:2826	Spastic paraplegia-precocious puberty syndrome	0.87
mondo:0008962	Griscelli syndrome type 1	orphanet.ordo	orphanet.ordo:79476	Griscelli syndrome type 1	0.62
orphanet.ordo:2616	3M syndrome	mondo	mondo:0007477	3-M syndrome	0.82
mondo:0008684	Wolf-Hirschhorn syndrome	orphanet.ordo	orphanet.ordo:280	Wolf-Hirschhorn syndrome	0.64
orphanet.ordo:280325	Distal deletion 12p syndrome	mondo	mondo:0017229	distal monosomy 12p	0.62
mondo:0009000	familial reactive perforating collagenosis	orphanet.ordo	orphanet.ordo:79147	Familial reactive perforating collagenosis	0.77
mondo:0009577	megalocornea-intellectual disability syndrome	orphanet.ordo	orphanet.ordo:2479	Megalocornea-intellectual disability syndrome	0.81
orphanet.ordo:99832	Resistance to thyrotropin-releasing hormone syndrome	mondo	mondo:0032819	hypothyroidism, congenital, nongoitrous, 7	0.81
orphanet.ordo:2524	Pontocerebellar hypoplasia type 2	mondo	mondo:0016759	pontocerebellar hypoplasia type 2	0.75
mondo:0008151	gnathodiaphyseal dysplasia	orphanet.ordo	orphanet.ordo:53697	Gnathodiaphyseal dysplasia	0.6
orphanet.ordo:565782	Methotrexate toxicity	mondo	mondo:0034212	methotrexate toxicity	0.78
orphanet.ordo:93274	Thanatophoric dysplasia type 2	mondo	mondo:0008547	thanatophoric dysplasia type 2	0.82
mondo:0958099	idiopathic subglottic stenosis	orphanet.ordo	orphanet.ordo:652681	Idiopathic subglottic stenosis	0.77
mondo:0015687	chronic eosinophilic leukemia	efo	efo:1000178	Chronic Eosinophilic Leukemia, Not Otherwise Specified	0.9
mondo:0019835	primary hypophysitis	orphanet.ordo	orphanet.ordo:95506	Primary hypophysitis	0.79
mondo:0013969	combined oxidative phosphorylation defect type 11	orphanet.ordo	orphanet.ordo:324535	Combined oxidative phosphorylation defect type 11	0.9
orphanet.ordo:295014	Familial isolated clinodactyly of fingers	mondo	mondo:0017461	familial isolated clinodactyly of fingers	0.79
