source identifier	source name	target prefix	predicted identifier	predicted name	true identifier	true name	confidence
orphanet.ordo:329903	Immunoglobulin-mediated membranoproliferative glomerulonephritis	mondo	mondo:0018013	non-immunoglobulin-mediated membranoproliferative glomerulonephritis	mondo:0014005	immunoglobulin-mediated membranoproliferative glomerulonephritis	0.51
orphanet.ordo:79140	Cutaneous neuroendocrine carcinoma	ncit	ncit:C173385	Cutaneous Merkel Cell Carcinoma	ncit:C4068, ncit:C9231	Trabecular Adenocarcinoma, Merkel Cell Carcinoma	0.75
mondo:0003262	rhabdoid meningioma	efo	efo:1000449	Papillary Meningioma	efo:1000511	Rhabdoid Meningioma	0.95
orphanet.ordo:600832	Legionella infection	mondo	mondo:0012057	legionnaire disease, susceptibility to	mondo:0005823	legionellosis	0.53
orphanet.ordo:94	Astrocytoma	mondo	mondo:0019781	astrocytoma (excluding glioblastoma)	mondo:0021636	astrocytic tumor	0.77
orphanet.ordo:2932	Chronic inflammatory demyelinating polyneuropathy	mondo	mondo:0100169	polyneuropathy, inflammatory demyelinating, chronic	mondo:0006702	chronic inflammatory demyelinating polyradiculoneuropathy	0.55
orphanet.ordo:590	Congenital myasthenic syndrome	mondo	mondo:0009690	congenital myasthenic syndrome 10	mondo:0018940	congenital myasthenic syndrome	0.73
orphanet.ordo:98722	Atrioventricular septal defect	mondo	mondo:0800268	atrioventricular septal defect, susceptibility to, 1	mondo:0020290	familial atrioventricular septal defect	0.52
ncit:C84689	Epidemic Louse-Borne Typhus	mesh	mesh:D014438	Typhus, Epidemic Louse-Borne	mesh:D014437, mesh:D012282	Typhus, Endemic Flea-Borne, Rickettsia Infections	0.81
doid:0050667	alcohol-related neurodevelopmental disorder	ncit	ncit:C92728	Alcohol Related Neurodevelopmental Disorder	ncit:C84713	Fetal Alcohol Syndrome	0.62
efo:0004276	Stevens-Johnson syndrome	orphanet.ordo	orphanet.ordo:502499	Erythema multiforme major	orphanet.ordo:36426	Stevens-Johnson syndrome	0.67
orphanet.ordo:98853	Autosomal dominant Emery-Dreifuss muscular dystrophy	mondo	mondo:0021569	Emery-Dreifuss muscular dystrophy 2, autosomal dominant	mondo:0020336	autosomal dominant Emery-Dreifuss muscular dystrophy	0.51
orphanet.ordo:2880	Phosphoenolpyruvate carboxykinase deficiency	mondo	mondo:0009866	phosphoenolpyruvate carboxykinase deficiency, cytosolic	mondo:0017320	phosphoenolpyruvate carboxykinase deficiency	0.92
orphanet.ordo:110	Bardet-Biedl syndrome	mondo	mondo:0014438	Bardet-Biedl syndrome 10	mondo:0015229	Bardet-Biedl syndrome	0.76
orphanet.ordo:778	Rett syndrome	mondo	mondo:0017746	atypical Rett syndrome	mondo:0010726	Rett syndrome	0.7
ncit:C116778	Spondyloarthritis	doid	doid:6590	spondylitis	doid:1123	spondyloarthropathy	0.81
ncit:C119033	Polyarticular Juvenile Idiopathic Arthritis, Rheumatoid Factor Negative	mondo	mondo:0018456	polyarticular juvenile idiopathic arthritis	mondo:0019432	rheumatoid factor-negative juvenile idiopathic arthritis	0.61
ncit:C34639	Angle Closure Glaucoma	mondo	mondo:0001868	primary angle-closure glaucoma	mondo:0001744	angle-closure glaucoma	0.8
orphanet.ordo:2608	N syndrome	mondo	mondo:0014693	Noonan syndrome 10	mondo:0010686	N syndrome	0.56
orphanet.ordo:91483	Rieger anomaly	mondo	mondo:0011233	Axenfeld-Rieger syndrome type 3	mondo:0019628	Rieger anomaly	0.54
