source identifier	source name	target prefix	predicted identifier	predicted name	true identifier	true name	confidence
icd11:902783759	Congenital anomaly of coronary artery	mondo	mondo:0001389	congenital coronary artery anomaly	mondo:0015203	coronary artery congenital malformation	0.9
efo:0007286	glanders	icd11	icd11:874764787	Burkholderia mallei	icd11:1563156715	Glanders	0.73
icd11:947165291	Lung carcinoma	efo	efo:1001942	bronchogenic carcinoma	efo:0001071	lung carcinoma	0.83
omim.ps:122100	Corneal dystrophy, Meesmann	mondo	mondo:0020791	corneal dystrophy, Meesmann, 1	mondo:0007379	Meesmann corneal dystrophy	0.7
mondo:0007608	desmoid tumor	ncit	ncit:C189052	Fetus in Fetu	ncit:C9182	Desmoid Fibromatosis	0.52
doid:0080344	blepharocheilodontic syndrome	mondo	mondo:0054740	blepharocheilodontic syndrome 1	mondo:0007339	blepharocheilodontic syndrome	0.62
doid:0080618	lymph node carcinoma	mondo	mondo:0001082	lymph node cancer	mondo:0850151	lymph node carcinoma	0.71
efo:1000757	porokeratosis	mondo	mondo:0008293	porokeratosis 3, disseminated superficial actinic type	mondo:0006602	porokeratosis	0.93
orphanet:1872	Cone rod dystrophy	mondo	mondo:0012398	retinal cone dystrophy 3A	mondo:0015993	cone-rod dystrophy	0.74
efo:0002612	human herpesvirus 8 infection	mondo	mondo:0005055	Kaposi's sarcoma	mondo:0005187	human herpesvirus 8 infection	0.62
mondo:0018570	hypophosphatasia	doid	doid:0110914	infantile hypophosphatasia	doid:14213	hypophosphatasia	0.58
ncit:C3959	Hepatobiliary Disorder	efo	efo:0001421	liver disease	efo:0010284	hepatobiliary disease	0.65
efo:1000928	Erysipelothrix rhusiopathiae infectious disease	mesh	mesh:D004889	Erysipelothrix Infections	mesh:D004887	Erysipeloid	0.75
mondo:0004008	flat ductal epithelial atypia	ncit	ncit:C8436	Breast Atypical Ductal Hyperplasia	ncit:C36086	Breast Flat Ductal Epithelial Atypia	0.68
ncit:C99109	Walker-Warburg Syndrome	mondo	mondo:0014022	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 10	mondo:0000171	muscular dystrophy-dystroglycanopathy, type A	0.69
doid:0111550	scalp-ear-nipple syndrome	mondo	mondo:0007329	cirrhosis, familial	mondo:0008404	scalp-ear-nipple syndrome	0.55
mondo:0019373	desmoplastic small round cell tumor	ncit	ncit:C27372	Childhood Desmoplastic Small Round Cell Tumor	ncit:C8300	Desmoplastic Small Round Cell Tumor	0.76
orphanet:404454	Alacrimia-choreoathetosis-liver dysfunction syndrome	mondo	mondo:0031376	congenital disorder of deglycosylation	mondo:0800044	congenital disorder of deglycosylation 1	0.76
doid:5592	breast papillary carcinoma	mondo	mondo:0044783	solid papillary breast carcinoma	mondo:0003532	breast papillary carcinoma	0.7
ncit:C84827	Liddle Syndrome	mondo	mondo:0020607	Liddle syndrome 1	mondo:0008323	Liddle syndrome	0.78
doid:0081087	acute myeloid leukemia with maturation	mondo	mondo:0005224	acute myeloblastic leukemia without maturation	mondo:0020320	acute myeloblastic leukemia with maturation	0.98
doid:0111664	ectodermal dysplasia 1	mondo	mondo:0016535	hypohidrotic ectodermal dysplasia	mondo:0010585	X-linked hypohidrotic ectodermal dysplasia	0.86
doid:3982	Meige syndrome	mondo	mondo:0017799	Meigs syndrome	mondo:0019772	blepharospasm-oromandibular dystonia syndrome	0.49
icd11:1180710837	Acute laryngitis	mondo	mondo:0002647	laryngitis	mondo:0004777	acute laryngitis	0.6
mondo:0002181	exostosis	ncit	ncit:C139151	Osteophyte	ncit:C3029	Exostosis	0.6
mondo:0009764	ocular motor apraxia, Cogan type	mesh	mesh:D003128	Coma	mesh:C537423	Apraxia, oculomotor, Cogan type	0.61
ncit:C7925	Adult Extraskeletal Osteosarcoma	mondo	mondo:0002621	extraosseous osteosarcoma	mondo:0004374	adult extraskeletal osteosarcoma	0.74
doid:0110090	short-rib thoracic dysplasia 7 with or without polydactyly	mondo	mondo:0054565	short-rib thoracic dysplasia 17 with or without polydactyly	mondo:0013569	short-rib thoracic dysplasia 7 with or without polydactyly	0.7
mondo:0009031	craniodiaphyseal dysplasia	gard	gard:249	Craniodiaphyseal dysplasia, autosomal dominant	gard:1567	NO_NAME_FOUND	0.6
doid:0111952	immunodeficiency 57	mondo	mondo:0033968	immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome	mondo:0020849	immunodeficiency 57	0.75
omim.ps:206100	Anemia, hypochromic microcytic, with iron overload	mondo	mondo:0008787	microcytic anemia with liver iron overload	mondo:0000104	anemia, hypochromic microcytic with iron overload	0.8
gard:17851	Charcot-marie-tooth disease, demyelinating, type 1g	mondo	mondo:0859311	Charcot-Marie-Tooth disease, demyelinating, type 1J	mondo:0033135	Charcot-Marie-Tooth disease, demyelinating, type 1G	0.49
mondo:0005258	autism spectrum disorder	ncit	ncit:C97179	Pervasive Developmental Disorder	ncit:C88412	Autism Spectrum Disorder	0.62
mondo:0019154	androgen insensitivity syndrome	doid	doid:0080776	partial androgen insensitivity syndrome	doid:4674	androgen insensitivity syndrome	0.67
mondo:0018590	ABeta2M amyloidosis	icd11	icd11:1466418791	Variant ABeta2M amyloidosis	icd11:448754119	Dialysis-associated amyloidosis	0.89
icd11:292840069	Hypofunction or certain other specified disorders of pituitary gland	mondo	mondo:0003381	pituitary gland disorder	mondo:0015127	pituitary deficiency	0.85
mondo:0003345	hilar cholangiocarcinoma	icd11	icd11:1150369370	Klatskin tumour	icd11:1571104786	Hilar cholangiocarcinoma	0.54
doid:8986	narcolepsy	mondo	mondo:0019371	narcolepsy without cataplexy	mondo:0021107	narcolepsy	0.82
doid:14744	Partington syndrome	mondo	mondo:0010727	Russell-silver syndrome, X-linked	mondo:0010654	Partington syndrome	0.79
